author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
MHEstate - Элитная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/300932847/;Москва;sale;flat;10;14;1;65.2;35000000;Мещанский; Гиляровского;50;Проспект Мира;
Юлия Шмелева;realtor;https://www.cian.ru/sale/flat/301890265/;Москва;sale;flat;8;12;1;35.2;13900000;Кунцево;Кунцевская ;19К3;Рабочий посёлок;
SITRealty;real_estate_agent;https://www.cian.ru/sale/flat/300609717/;Москва;sale;flat;4;7;1;40.0;9850000;; Медовая Долина;2;Санино;Баркли Медовая долина
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/301897396/;Москва;sale;flat;37;37;1;48.0;40000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
Unique;real_estate_agent;https://www.cian.ru/sale/flat/287678758/;Москва;sale;flat;4;26;1;46.0;32000000;Очаково-Матвеевское;Нежинская ;5к2;Давыдково;Городские резиденции SPIRES
ЕГСН Продажа;real_estate_agent;https://www.cian.ru/sale/flat/295758505/;Москва;sale;flat;6;9;1;32.8;8900000;Печатники;Шоссейная ;3;Печатники;
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/293760838/;Москва;sale;flat;18;48;1;42.4;19450000;Хорошево-Мневники; Народного Ополчения;15К1;Народное Ополчение;Wellton Towers
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/299888104/;Москва;sale;flat;44;65;1;52.0;44000000;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
ID 113174200;homeowner;https://www.cian.ru/sale/flat/301362066/;Москва;sale;flat;8;9;1;33.0;10540000;Черемушки; Цюрупы;15К3;Новые Черёмушки;
Никита Гаврилов;realtor;https://www.cian.ru/sale/flat/301850597/;Москва;sale;flat;4;12;1;35.2;11950000;Царицыно;Кавказский бульвар;11;Кантемировская;
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/sale/flat/297087850/;Москва;sale;flat;51;75;1;123.0;99000000;Пресненский;1-й Красногвардейский проезд;15;Деловой центр;Меркурий Тауэр
Екатерина Федотова;realtor;https://www.cian.ru/sale/flat/301846703/;Москва;sale;flat;14;16;1;34.8;11000000;Очаково-Матвеевское;Озерная ;29К3;Озёрная;
ID 73038306;real_estate_agent;https://www.cian.ru/sale/flat/301616082/;Москва;sale;flat;4;9;1;30.1;12200000;Перово;2-я Владимирская ;3;Перово;
Екатерина Боброва;realtor;https://www.cian.ru/sale/flat/301837625/;Москва;sale;flat;7;12;1;35.0;11000000;Лучшая просторная 1 к.кв. в е!1-комн. квартира;35 м²;;;
ЛэндЛ;real_estate_agent;https://www.cian.ru/sale/flat/294760157/;Москва;sale;flat;5;16;1;20.3;6900000;Очаково-Матвеевское;Аминьевское шоссе;17;Давыдково;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/301782648/;Москва;sale;flat;10;21;1;65.0;67000000;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/sale/flat/299330003/;Москва;sale;flat;63;66;1;86.0;96000000;Пресненский;1-й Красногвардейский проезд;22;Деловой центр;NEVA TOWERS
Ольга Троицкая;realtor;https://www.cian.ru/sale/flat/299702158/;Москва;sale;flat;3;16;1;39.0;7100000;; Дмитрия Кабалевского;20;Ватутинки;
ID 115757863;homeowner;https://www.cian.ru/sale/flat/301203125/;Москва;sale;flat;9;30;1;38.0;14000000;Южнопортовый;Волгоградский проспект;32/5к1;Волгоградский проспект;
Лофт Инвест;real_estate_agent;https://www.cian.ru/sale/flat/299893948/;Москва;sale;flat;5;16;1;38.9;11300000;Отрадное;Алтуфьевское шоссе;2;Владыкино;
Кремлёвские Ключи;real_estate_agent;https://www.cian.ru/sale/flat/301136222/;Москва;sale;flat;2;6;1;9.6;3090000;Северное Измайлово;Сиреневый бульвар;15;Щёлковская;
СОВКОМБАНК;official_representative;https://www.cian.ru/sale/flat/297233032/;Москва;sale;flat;12;12;1;39.0;9750000;Гольяново;Уральская ;1;Щёлковская;
